,Unnamed: 0,Project Title,Generated/Expected/reduced,Per year/To date,Method,Carbon credit amount,Registry ID,Registry,Total Credits,Yearly Credits,Credits Retired Total,Credits Retired Owned,Credits Retired Unowned,Credits Retired Company,Longitude,Latitude
82,82,FATANPUR WIND POWER PROJECT,Generated,Per year,Carbon credits,210000.0,VCS1746,https://registry.verra.org/app/projectDetail/VCS/1746,1136597.0,189432.8333,615092.0,175050.0,440042.0,0.0,76.1641,23.13373
84,84,"1.6 MW BUNDLED RICE HUSK BASED COGENERATION PLANT­, INDIA",Reduced (tCO2),Per year,Carbon reductions,70113.0,VCS784,https://registry.verra.org/app/projectDetail/VCS/784,624228.0,56748.0,319098.0,312422.0,6676.0,0.0,76.471553,30.365342
86,86,WIND POWER PROJECT BY M/S DHARIWAL INDUSTRIES LTD. AND M/S R. M. DHARIWAL (HUF),Generated,Per year,Carbon credits,35214.0,VCS840,https://registry.verra.org/app/projectDetail/VCS/840,295648.0,24637.33333,91304.0,950.0,90354.0,0.0,79.151803,26.725359
87,87,"3.5 MW SMALL HYDRO PROJECT IN HIMACHAL PRADESH, INDIA",Reduced (tCO2),Per year,GHG reductions,14462.0,VCS2033,https://registry.verra.org/app/projectDetail/VCS/2033,35682.0,8920.5,0.0,0.0,0.0,0.0,77.064722,31.959167
88,88,BUNDLED WIND POWER PROJECT IN GUJARAT AND TAMIL NADU,Generated,Per year,Carbon credits,13563.0,VCS1862,https://registry.verra.org/app/projectDetail/VCS/1862,113779.0,22755.8,42054.0,42054.0,0.0,0.0,77.4523,9.8495
90,90,ZHANGYE IMPROVED GRASSLAND MANAGEMENT PROJECT,Generated,To date,Carbon credits,28789533.0,VCS2748,https://registry.verra.org/app/projectDetail/VCS/2748,2458517.0,491703.4,19435.0,19435.0,0.0,19435.0,100.9,38.75
92,92,GUANGZHOU HUADU SHILING LFG POWER GENERATION PROJECT,Generated,Per year,Carbon credits,143339.0,VCS2499,https://registry.verra.org/app/projectDetail/VCS/2499,174453.0,87226.5,60081.0,0.0,60081.0,0.0,113.098179,23.491928
93,93,NANCHANG ZHONGLAN HUANNENG TECHNICAL SERVICE CO. LTD. MAIYUAN LFG POWER GENERATION PROJECT,Generated,Per year,Carbon credits,155699.0,VCS2358,https://registry.verra.org/app/projectDetail/VCS/2358,467671.0,155890.3333,100129.0,129.0,100000.0,0.0,115.780276,28.734998
94,94,LILING LFG POWER GENERATION PROJECT,Generated,Per year,Carbon credits,92472.0,VCS2503,https://registry.verra.org/app/projectDetail/VCS/2503,102769.0,34256.33333,39059.0,0.0,39059.0,0.0,113.411531,27.644717
96,96,ZIYANG LFG POWER GENERATION PROJECT,Generated,Per year,Carbon credits,81291.0,VCS2525,https://registry.verra.org/app/projectDetail/VCS/2525,124659.0,62329.5,0.0,0.0,0.0,0.0,104.635,30.098333
98,98,LINGBI COUNTY WASTEWATER TREATMENT PLANT PROJECT,Generated,Per year,Carbon credits,67300.0,VCS2614,https://registry.verra.org/app/projectDetail/VCS/2614,104447.0,52223.5,0.0,0.0,0.0,0.0,117.558554,33.611111
102,102,"INSTALLATION OF HIGH EFFICIENCY WOOD BURNING COOKSTOVES PROJECT 3, MALAWI",Generated,Per year,Carbon credits,2075549.0,VCS2886,https://registry.verra.org/app/projectDetail/VCS/2886,0.0,,0.0,0.0,0.0,0.0,34.3015,13.2543
103,103,"INSTALLATION OF HIGH EFFICIENCY WOOD BURNING COOKSTOVES PROJECT 2, MOZAMBIQUE",Generated,Per year,Carbon credits,1424180.0,VCS2888,https://registry.verra.org/app/projectDetail/VCS/2888,0.0,,0.0,0.0,0.0,0.0,40.73583,-15.03417
104,104,"INSTALLATION OF HIGH EFFICIENCY WOOD BURNING COOKSTOVES PROJECT 2, ZIMBABWE",Generated,Per year,Carbon credits,1523541.0,VCS2890,https://registry.verra.org/app/projectDetail/VCS/2890,0.0,,0.0,0.0,0.0,0.0,29.154857,-19.015438
110,110,PROJECT SHINE 1 - DISTRIBUTION OF LED LIGHTBULBS IN NORTHEAST INDIA,Expected,Per year,Carbon credits,1480000.0,VCS3906,,0.0,,0.0,0.0,0.0,0.0,92.533332,26.233328
111,111,CLEAN COOKSTOVES FOR RURAL CENTRAL & NORTHEAST INDIA,Expected,Per year,Carbon credits,900000.0,VCS2944,https://registry.verra.org/app/projectDetail/VCS/2944,0.0,,0.0,0.0,0.0,0.0,78.9629,20.5937
113,113,"DISTRIBUTION OF IMPROVED COOK STOVE - PHASE VI, INDIA",Generated,Per year,Carbon credits,12990.0,VCS2427,https://registry.verra.org/app/projectDetail/VCS/2427,55045.0,11009.0,0.0,0.0,0.0,0.0,74.008322,17.679432
114,114,"INSTALLATION OF HIGH EFFICIENT COOK STOVES BY ENKING INTERNATIONAL, INDIA",Generated,Per year,Carbon credits,86825.0,VCS2473,https://registry.verra.org/app/projectDetail/VCS/2473,190034.0,63344.66667,2648.0,1348.0,1300.0,0.0,68.133322,8.08333
115,115,"DISTRIBUTION OF IMPROVED COOK STOVE - PHASE 11, INDIA",Generated,Per year,Carbon credits,12756.0,VCS2415,https://registry.verra.org/app/projectDetail/VCS/2415,55467.0,11093.4,8297.0,8297.0,0.0,8297.0,78.563333,20.179998
